                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-macos-21.2.1"                                 "CRMATH"                               "20211220"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                   radius                                    log_g                             lum_div_Ledd                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index                                 Pre_zams 
                                       1                                     1770                  1.7888543819998320E+003                  3.2525749891599527E+000                  4.9999998559468688E+000                  3.3997475902184391E+001                 -1.0094052288624029E+001                  1.2434154764973868E+000                  2.4792048379366394E-001                  7.8127321612164735E-008                  9.9999999986557497E-001                  9.9999999959668018E-001                  3.5257219097835080E-001                  7.8127321612164735E-008                  9.9454316337756588E-001                  9.9436005264897087E-001                                        1                  2.4868310246419326E-001                                        2                  3.5335278419761762E-001                                        0                  9.9436005264897087E-001                                        4                  9.9472053617221756E-001                                        0                  9.9999999959668018E-001                                        1                  9.9999999987061583E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.6366539099985107E+000                 -3.4933084647570865E+001                 -1.2041199826559247E+001                  3.6366539099985107E+000                  7.9662882974301807E-001                  3.6360257456630292E+000                 -3.4933084647570865E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5757607403399474E+033                  2.9621828963819001E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  5.2822034359756520E-002                                        4                  1.5793059155242617E-001                                        3                  2.6596533424633906E-001                                        2                  3.7350471850390321E-001                                        1                  4.9169703731688719E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2251948214012351E+000                  2.7350287012626993E+000                  2.7528203410123990E+000                  4.2574818817401061E+000                  8.0950136448645155E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4130233169186992E+000                  1.2486296640803849E+000                  1.6801587831620406E+001                  6.1254257729852690E-001                  8.5772492810103196E-001                  1.2757028678808848E+000                  7.1544981020939913E-001                  2.7030043221426453E-001                  2.2181813330053373E-003                  2.5160005251706266E-003                  6.1025508593614093E-003                  3.5774111696499431E+000                  1.3515007247440407E+000                                        0                                        5                  1.0000000000000000E+000                  1.7888543819998320E+003                  3.0000000000000000E+000                  1.7507143320105957E+001                  1.1071677774023631E+002                  1.8452795715668387E+002                  7.4193700457803606E+000                  5.8765691287635740E+000                 -6.2896845365220488E-001                 -1.0000000000000000E+000                  4.9999998559468688E+000                  3.0000000069476278E+000                 -9.8999999999999986E+001                 -1.0094052288624029E+001                 -1.1410738418615358E+001                 -9.8999999999999986E+001                 -1.2627834782787057E+001                 -1.0116857125332924E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  4.8229623317029777E-002                  1.3406846294529515E+053                 -2.9070642831719903E+034                  0.0000000000000000E+000                 -4.5161676580716523E+033                 -2.4554475173648249E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       2                                     1708                  3.2199378875996977E+003                  3.1556649761518965E+000                  4.9999997464664911E+000                  3.3997475892675048E+001                 -1.0116328688784858E+001                  1.9340016293286977E+000                  3.8650680208457378E-001                  7.8127323055454667E-008                  9.9999999984948129E-001                  9.9999999955913499E-001                  4.8351835706701995E-001                  7.8127323055454667E-008                  9.9710729305365253E-001                  9.9690530360893403E-001                                        1                  3.8680034547910930E-001                                        2                  4.8488873536853422E-001                                        0                  9.9690530360893403E-001                                        4                  9.9720346203600874E-001                                        0                  9.9999955572098997E-001                                        4                  9.9999957324336519E-001                                        0                  9.9999998611120000E-001                                        4                  9.9999998673620005E-001                                        0                  9.9999998876745000E-001                                        4                  9.9999998954869995E-001                                        0                  9.9999999955913499E-001                                        1                  9.9999999985704169E-001                                        0                  9.9999999999169997E-001                                        4                  9.9999999999238753E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4982330280325309E+000                 -3.5296316542192258E+001                 -9.8999999999999986E+001                  3.4982330280325309E+000                  7.5478249344319304E-001                  3.4974482874945401E+000                 -3.5296316542192258E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4282697109898340E+033                  2.8313534619380388E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.9870952033976059E-002                                        4                  1.4337727875153627E-001                                        3                  2.5202879797335964E-001                                        2                  3.5647336265577112E-001                                        1                  4.7108876304542924E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2166812625940002E+000                  2.7031733897209111E+000                  2.7597982221321100E+000                  4.2552829485436048E+000                  7.7178399066814313E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4061755849577660E+000                  1.2213547776251383E+000                  1.6767571004242175E+001                  6.1254640263260607E-001                  8.5772108770621780E-001                  1.2757153375026431E+000                  7.1544211430657134E-001                  2.7030050682065432E-001                  2.1727113621725544E-003                  2.5160005251706244E-003                  6.1025508593614067E-003                  3.5773594649190441E+000                  1.3515011602082172E+000                                        0                                        4                  2.0000000000000000E+000                  3.2199378875996977E+003                  3.0000000000000000E+000                  1.7507143244112104E+001                  1.1071677889712254E+002                  1.8452795471821881E+002                  7.4193699767995662E+000                  5.8765691374347240E+000                 -6.2802795510103648E-001                 -1.0000000000000000E+000                  4.9999997464664911E+000                  3.0000000122504078E+000                 -9.8999999999999986E+001                 -1.0116328688784858E+001                 -1.1431161380506408E+001                 -9.8999999999999986E+001                 -1.2648257742479830E+001                 -1.0139233675330622E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  4.8435892682931400E-002                  1.3406846082865577E+053                 -2.7838433330032521E+034                  0.0000000000000000E+000                 -4.5161675177011302E+033                 -2.3322265812331389E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       3                                     1677                  4.3648046920795905E+003                  3.0587549631438402E+000                  4.9999996632614048E+000                  3.3997475885447948E+001                 -1.0138605088945688E+001                  2.1315259482758027E+000                  4.2608111811492833E-001                  7.8127323721588482E-008                  9.9999999984245003E-001                  9.9999999953448027E-001                  5.1897742612267284E-001                  7.8127323721588482E-008                  9.9979594240908820E-001                  9.9979182236692754E-001                                        1                  4.2630521836584456E-001                                        2                  5.2028167323026286E-001                                        0                  9.9979182236692754E-001                                        4                  9.9980006245124886E-001                                        0                  9.9999933572864297E-001                                        4                  9.9999937993568799E-001                                        0                  9.9999999953448027E-001                                        1                  9.9999999984796961E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.4050317878232108E+000                 -3.5525341534503760E+001                 -1.2041199826559247E+001                  3.4050317878232113E+000                  7.3036000758561681E-001                  3.4041122444443257E+000                 -3.5525341534503760E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3282224035865125E+033                  2.7387895882223828E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  3.1383149437563040E-002                                        4                  1.3336369369016088E-001                                        3                  2.4298625233213988E-001                                        2                  3.4865859695251322E-001                                        1                  4.6128559756821275E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2112122017288867E+000                  2.6827465436968980E+000                  2.7644072879736270E+000                  4.2538335438800656E+000                  7.5026286372203502E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4017655746334823E+000                  1.2046360525832767E+000                  1.6746496242711366E+001                  6.1255051320300880E-001                  8.5771665669760244E-001                  1.2757297242113366E+000                  7.1543323830722538E-001                  2.7030059515554050E-001                  2.1202200174587349E-003                  2.5160005251706240E-003                  6.1025508593614058E-003                  3.5773260730339458E+000                  1.3515014572022908E+000                                        0                                        4                  3.0000000000000000E+000                  4.3648046920795905E+003                  3.0000000000000000E+000                  1.7507143186367358E+001                  1.1071677977675783E+002                  1.8452795286476203E+002                  7.4193699243711304E+000                  5.8765691440353427E+000                 -6.2740673181787210E-001                 -1.0000000000000000E+000                  4.9999996632614048E+000                  3.0000000162950387E+000                 -9.8999999999999986E+001                 -1.0138605088945688E+001                 -1.1451876100444085E+001                 -9.8999999999999986E+001                 -1.2668972460739671E+001                 -1.0161594810745223E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  4.8610376913064440E-002                  1.3406845922057754E+053                 -2.6668715183379199E+034                  0.0000000000000000E+000                 -4.5161674110623174E+033                 -2.2152547772316882E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       4                                     1658                  5.2806981356635042E+003                  2.9618449501357835E+000                  4.9999996000255402E+000                  3.3997475879955346E+001                 -1.0160881489106519E+001                  2.2080480740182016E+000                  4.4133705827812209E-001                  7.8127324720789204E-008                  9.9999999983541876E-001                  9.9999999951797336E-001                  5.3190826598676155E-001                  7.8127324720789204E-008                  9.9567363869009740E-001                  9.9552722522633130E-001                                        1                  4.4160965013015663E-001                                        2                  5.3318768113736514E-001                                        0                  9.9552722522633130E-001                                        4                  9.9581542645590770E-001                                        0                  9.9771893460850958E-001                                        4                  9.9786942694787562E-001                                        0                  9.9935250886153804E-001                                        4                  9.9939771252485832E-001                                        0                  9.9955074570845892E-001                                        4                  9.9958292497008616E-001                                        0                  9.9997030886221383E-001                                        4                  9.9997398631618706E-001                                        0                  9.9999779737476613E-001                                        4                  9.9999796397122076E-001                                        0                  9.9999971765743578E-001                                        4                  9.9999973598890635E-001                                        0                  9.9999995986120005E-001                                        4                  9.9999996329870000E-001                                        0                  9.9999999951797336E-001                                        1                  9.9999999984186860E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.3403888157600998E+000                 -3.5679890551495930E+001                 -9.8999999999999986E+001                  3.3403888157600998E+000                  7.1442257457475022E-001                  3.3393600124088998E+000                 -3.5679890551495930E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2593197526244321E+033                  2.6729637455754889E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        5                  2.6788828199021175E-002                                        4                  1.2621043655808262E-001                                        3                  2.3557644602076455E-001                                        2                  3.4237527684119451E-001                                        1                  4.5563256821232345E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2074396243193490E+000                  2.6686395417795139E+000                  2.7675385760308511E+000                  4.2528502306666986E+000                  7.3560110773354948E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3987687649993141E+000                  1.1935678468179249E+000                  1.6732461932066869E+001                  6.1255354362887471E-001                  8.5771316015578591E-001                  1.2757410759909744E+000                  7.1542623376219794E-001                  2.7030066758474158E-001                  2.0788201364427736E-003                  2.5160005251706275E-003                  6.1025508593614127E-003                  3.5773030454677421E+000                  1.3515016716073740E+000                                        0                                        3                  4.0000000000000000E+000                  5.2806981356635042E+003                  3.0000000000000000E+000                  1.7507143142486701E+001                  1.1071678044548264E+002                  1.8452795145602309E+002                  7.4193698845240066E+000                  5.8765691490571168E+000                 -6.2698468749972502E-001                 -1.0000000000000000E+000                  4.9999996000255402E+000                  3.0000000193762486E+000                 -9.8999999999999986E+001                 -1.0160881489106519E+001                 -1.1473123674568393E+001                 -9.8999999999999986E+001                 -1.2690220033584232E+001                 -1.0183927209801755E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  4.8725669434745864E-002                  1.3406845799872325E+053                 -2.5558824865637026E+034                  0.0000000000000000E+000                 -4.5161673300401153E+033                 -2.1042657535596909E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
