                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-macos-21.2.1"                                 "CRMATH"                               "20211217"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                             he_core_mass                              c_core_mass                                 log_Teff                                    log_L                                   radius                                    log_g                             lum_div_Ledd                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index                                 Pre_zams 
                                       1                                     1763                  1.7888543819998320E+003                  3.2525749891599527E+000                  4.9999998722879910E+000                  3.3997475903603764E+001                 -1.0146343252109370E+001                  1.2397842234462284E+000                  2.4792048298340308E-001                  7.8127321501142433E-008                  9.9999999972057496E-001                  9.9999999916170212E-001                  3.5178981886655691E-001                  7.8127321501142433E-008                  9.9242264083443454E-001                  9.9217143742105340E-001                                        0                  9.9217143742105340E-001                                        4                  9.9266607205039348E-001                                        0                  9.9820500850814864E-001                                        4                  9.9832446783979589E-001                                        0                  9.9999999982955934E-001                                        4                  9.9999999984245003E-001                                        0                  9.9999999999410627E-001                                        4                  9.9999999999548128E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.6842075602857922E+000                 -3.7636186721237777E+001                 -9.8999999999999986E+001                  2.6842075602857922E+000                  4.0836595021967154E-001                  2.6819003041022342E+000                 -3.7636186721237777E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6143129610104281E+032                  1.8649162277406055E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        4                  5.6191582266735707E-002                                        3                  1.5549583379830778E-001                                        2                  2.6023306273475744E-001                                        1                  3.8498366381340499E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1825174008995676E+000                  2.6895144424277331E+000                  3.1796226373011671E+000                  4.1322864599877729E+000                  7.2538784587224181E-002                  2.4242851986904379E-005                  2.3894056451981792E-004                  1.0146008276992273E-001                  7.3588583709378570E+000                  1.1062330600618990E+000                  1.6604606057075777E+001                  6.1251888853504444E-001                  8.5774718919027204E-001                  1.2756305812535758E+000                  7.1549435633387859E-001                  2.7030002552713767E-001                  2.4826817087941957E-003                  2.5160005251706249E-003                  6.1025508593614067E-003                  3.5774899472947501E+000                  1.3515000104826616E+000                                        0                                        2                  1.0000000000000000E+000                  1.7888543819998320E+003                  3.0000000000000000E+000                  1.7507143331459869E+001                  1.1071677756797806E+002                  1.8452795752041726E+002                  7.4193700560732943E+000                  5.8765691274803089E+000                 -5.7144304526252676E-001                 -1.0000000000000000E+000                  4.9999998722879910E+000                  3.0000000061712946E+000                 -9.8999999999999986E+001                 -1.0146343252109370E+001                 -1.1462198689042493E+001                 -9.8999999999999986E+001                 -1.2679295053214190E+001                 -1.0169192919297036E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  4.8321962399037896E-002                  1.3406846326181908E+053                 -2.6283354396846532E+034                  0.0000000000000000E+000                 -4.5161676804494695E+033                 -2.1767186716397064E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       2                                     1712                  3.9354796403996302E+003                  3.3317562352075774E+000                  4.9999997190061771E+000                  3.3997475890289877E+001                 -1.0146265602851489E+001                  1.2362038054527618E+000                  2.4709847484600012E-001                  7.8127324609766902E-008                  9.9999999972057496E-001                  9.9999999916182736E-001                  3.5100745866766059E-001                  7.8127324609766902E-008                  9.9242265570385590E-001                  9.9217145380290306E-001                                        0                  9.9217145380290306E-001                                        4                  9.9266608545418078E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.6784266506723422E+000                 -3.7633476317460342E+001                 -9.8999999999999986E+001                  2.6784266506723418E+000                  4.1714642732807794E-001                  2.6760405068674240E+000                 -3.7633476317460342E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5617076155500177E+032                  1.8589678780011566E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        4                  5.5514529040764371E-002                                        3                  1.5549583856524640E-001                                        2                  2.6023307071255930E-001                                        1                  3.8574523991145004E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1825708903178693E+000                  2.6896979836187054E+000                  3.1795112943689530E+000                  4.1323168631561167E+000                  7.2560088246058294E-002                  2.4243374572261274E-005                  2.3895016971848726E-004                  1.0145819139920982E-001                  7.3589092572006161E+000                  1.1064897880892217E+000                  1.6604909586584998E+001                  6.1252205146455485E-001                  8.5774386111333767E-001                  1.2756413989616231E+000                  7.1548767392380541E-001                  2.7030005871093560E-001                  2.4432507586970662E-003                  2.5160005251706257E-003                  6.1025508593614075E-003                  3.5774780421639290E+000                  1.3515000275541853E+000                                        0                                        2                  2.0000000000000000E+000                  3.9354796403996297E+003                  3.0000000000000000E+000                  1.7507143226268223E+001                  1.1071677923348255E+002                  1.8452795408093519E+002                  7.4193699591489981E+000                  5.8765691408215996E+000                 -5.7145804672427425E-001                 -1.0000000000000000E+000                  4.9999997190061771E+000                  3.0000000152490509E+000                 -9.8999999999999986E+001                 -1.0146265602851489E+001                 -1.1373777702745013E+001                 -9.8999999999999986E+001                 -1.2590874064964073E+001                 -1.0174440327359626E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  5.9222658660093887E-002                  1.3406846036299875E+053                  1.0965143638967733E+036                  0.0000000000000000E+000                 -4.5161674825498476E+033                 -2.1549813324274004E+034                  1.1225803447035971E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       3                                     1677                  6.5114299504793880E+003                  3.4109374812552025E+000                  4.9999995349771638E+000                  3.3997475874305316E+001                 -1.0146051182100132E+001                  1.2304004678783389E+000                  2.4545391577109577E-001                  7.8127327496346766E-008                  9.9999999972057496E-001                  9.9999999916215132E-001                  3.4865860589799647E-001                  7.8127327496346766E-008                  9.9266610154666990E-001                  9.9204186909790848E-001                                        0                  9.9204186909790848E-001                                        4                  9.9290198758675019E-001                                        0                  9.9779541733754162E-001                                        4                  9.9794104084772828E-001                                        0                  9.9843626643087913E-001                                        4                  9.9854088269570707E-001                                        0                  9.9966726857226651E-001                                        4                  9.9971460536495016E-001                                        0                  9.9997756319555597E-001                                        4                  9.9997955430205099E-001                                        0                  9.9999234647345703E-001                                        4                  9.9999273622657225E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.6721152829055717E+000                 -3.7628356979258328E+001                 -9.8999999999999986E+001                  2.6721152829055717E+000                  4.2797132690503209E-001                  2.6696328301591787E+000                 -3.7628356979258328E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5317305512121954E+032                  1.8523937135358220E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        4                  5.5514531084021601E-002                                        3                  1.5468451124091520E-001                                        2                  2.5941373226154718E-001                                        1                  3.8574525410911620E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1826749870594027E+000                  2.6900590687696742E+000                  3.1793088658833888E+000                  4.1323721489867227E+000                  7.2601682197460271E-002                  2.4245768425192108E-005                  2.3897020980900749E-004                  1.0145970061036948E-001                  7.3590057333608216E+000                  1.1069619889422238E+000                  1.6605472470299176E+001                  6.1252579523785822E-001                  8.5773989902906678E-001                  1.2756542759243539E+000                  7.1547971837910596E-001                  2.7030010260681225E-001                  2.3963356814941388E-003                  2.5160005251706266E-003                  6.1025508593614084E-003                  3.5774639604506042E+000                  1.3515000546852769E+000                                        0                                        2                  3.0000000000000000E+000                  6.5114299504793871E+003                  3.0000000000000000E+000                  1.7507143099975451E+001                  1.1071678123306012E+002                  1.8452794995152556E+002                  7.4193698427824737E+000                  5.8765691568386496E+000                 -5.7148532378714023E-001                 -1.0000000000000000E+000                  4.9999995349771638E+000                  3.0000000261472173E+000                 -9.8999999999999986E+001                 -1.0146051182100132E+001                 -1.1373584066812040E+001                 -9.8999999999999986E+001                 -1.2590680426158835E+001                 -1.0174224513545779E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  5.9219824401772321E-002                  1.3406845688267571E+053                  1.7414518540940828E+036                  0.0000000000000000E+000                 -4.5161672458918986E+033                 -2.1560513941252983E+034                  1.7675285352812275E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
                                       4                                     1663                  9.6025703225750967E+003                  3.4901187273028271E+000                  4.9999993139267902E+000                  3.3997475855105122E+001                 -1.0145627476238571E+001                  1.2225991375583973E+000                  2.4380882174677387E-001                  7.8127329716792815E-008                  9.9999999972057496E-001                  9.9999999916277171E-001                  3.4709037391448960E-001                  7.8127329716792815E-008                  9.9521993604479431E-001                  9.9472053982999986E-001                                        0                  9.9472053982999986E-001                                        4                  9.9537604086543274E-001                                        0                  9.9975586756642087E-001                                        4                  9.9978329297466773E-001                                        0                  9.9987415384465694E-001                                        4                  9.9988991389081139E-001                                        0                  9.9999993236119999E-001                                        4                  9.9999993704870005E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.6653687025566306E+000                 -3.7619708028448542E+001                 -9.8999999999999986E+001                  2.6653687025566306E+000                  4.4134805763006130E-001                  2.6627681640622272E+000                 -3.7619708028448542E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4624258543472483E+032                  1.8452924599230691E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                                        4                  5.4160423531413149E-002                                        3                  1.5387399633430754E-001                                        2                  2.5859365295517545E-001                                        1                  3.8574527116294377E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1828541441240796E+000                  2.6906844641589607E+000                  3.1789749424166764E+000                  4.1324633626559484E+000                  7.2673430640849926E-002                  2.4249243938281854E-005                  2.3900156171724135E-004                  1.0146093331188136E-001                  7.3591695086528714E+000                  1.1077333060170711E+000                  1.6606399705647142E+001                  6.1253022055149065E-001                  8.5773518674497418E-001                  1.2756695887429235E+000                  7.1547025639596373E-001                  2.7030016137165080E-001                  2.3405777190204048E-003                  2.5160005251706283E-003                  6.1025508593614154E-003                  3.5774473210239890E+000                  1.3515000971587734E+000                                        0                                        3                  4.0000000000000000E+000                  9.6025703225750949E+003                  3.0000000000000000E+000                  1.7507142948275355E+001                  1.1071678363486382E+002                  1.8452794499141436E+002                  7.4193697030065744E+000                  5.8765691760770409E+000                 -5.7153032269999282E-001                 -1.0000000000000000E+000                  4.9999993139267902E+000                  3.0000000392366415E+000                 -9.8999999999999986E+001                 -1.0145627476238571E+001                 -1.1373198171598748E+001                 -9.8999999999999986E+001                 -1.2590294527497290E+001                 -1.0173798273673810E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  5.9214668815931668E-002                  1.3406845270216680E+053                  2.4526430427631067E+036                  0.0000000000000000E+000                 -4.5161669616162703E+033                 -2.1581664830226692E+034                  2.4787408745549497E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+000 
